Movie Name,Year,Genre,Language
Kaun Pravin Tambe?,2022,Drama,hi
Cobalt Blue,2022,"Romance,Drama",hi
Dasvi,2022,"Drama,Comedy",hi
Hurdang,2022,"Drama,Romance",hi
Jersey,2022,Drama,hi
Operation Romeo,2022,"Drama,Thriller",hi
Runway 34,2022,"Thriller,Drama",hi
Heropanti 2,2022,"Action,Drama,Romance",hi
Mere Desh Ki Dharti,2022,"Comedy,Drama",hi
Thar,2022,"Western,Action,Thriller,Drama,Crime",hi
Jayeshbhai Jordaar,2022,"Comedy,Drama",hi
Bhool Bhulaiyaa 2,2022,"Horror,Comedy",hi
Dhaakad,2022,Action,hi
Anek,2022,"Action,Thriller",hi
Samrat Prithviraj,2022,"Action,Drama,History",hi
Janhit Mein Jaari,2022,"Comedy,Drama,Romance",hi
Ardh,2022,"Drama,Comedy",hi
Nikamma,2022,"Action,Comedy",hi
Forensic,2022,"Crime,Thriller",hi
Rashtra Kavach Om,2022,"Action,Thriller",hi
HIT: The First Case,2022,"Crime,Mystery,Thriller",hi
Jaadugar,2022,"Comedy,Drama,Romance",hi
Judaa Hoke Bhi,2022,"Horror,Thriller",hi
Shabaash Mithu,2022,"Drama,History",hi
Shamshera,2022,"Action,Drama,Adventure",hi
Ek Villain Returns,2022,"Action,Crime,Thriller",hi
Good Luck Jerry,2022,"Comedy,Crime,Drama",hi
Darlings,2022,"Comedy,Crime,Thriller",hi
Laal Singh Chaddha,2022,"Drama,Romance",hi
Raksha Bandhan,2022,"Comedy,Drama,Family",hi
Dobaaraa,2022,"Science Fiction,Mystery,Thriller",hi
Holy Cow,2022,"Comedy,Drama",hi
Cuttputlli,2022,"Crime,Mystery,Thriller",hi
Jahaan Chaar Yaar,2022,"Comedy,Drama",hi
Matto Ki Saikil,2022,"Family,Drama",hi
Middle Class Love,2022,"Comedy,Drama,Romance",hi
Saroj Ka Rishta,2022,"Drama,Comedy",hi
Atithi Bhooto Bhava,2022,"Comedy,Drama",hi
Dhokha: Round D Corner,2022,"Crime,Thriller",hi
Plan A Plan B,2022,"Romance,Comedy",hi
Vikram Vedha,2022,"Action,Crime,Thriller",hi
Maja Ma,2022,"Comedy,Romance,Drama",hi
Nazar Andaaz,2022,"Comedy,Drama",hi
Doctor G,2022,"Comedy,Drama",hi
Code Name: Tiranga,2022,"Action,Thriller",hi
Ram Setu,2022,"Action,Adventure,Drama",hi
Thank God,2022,Comedy,hi
Phone Bhoot,2022,"Horror,Comedy",hi
Double XL,2022,"Comedy,Drama",hi
Tadka,2022,"Comedy,Drama,Romance",hi
Rocket Gang,2022,"Comedy,Fantasy,Horror,Music",hi
Uunchai,2022,"Comedy,Drama,Family",hi
"Monica, O My Darling",2022,"Crime,Comedy,Drama,Mystery",hi
Thai Massage,2022,"Comedy,Drama",hi
Mister Mummy,2022,"Comedy,Drama",hi
Bhediya,2022,"Comedy,Fantasy,Horror",hi
Qala,2022,"Drama,Music",hi
